beam_id,time_s,displacement_mm,force_N
6,73.80,2.4532,346.1
6,73.90,2.4558,346.4
6,74.00,2.4588,346.9
6,74.10,2.4623,347.4
6,74.20,2.4662,348.0
6,74.30,2.4694,348.4
6,74.40,2.4726,348.9
6,74.50,2.4760,349.4
6,74.60,2.4795,349.9
6,74.70,2.4829,350.3
6,74.80,2.4862,350.8
6,74.90,2.4892,351.2
6,75.00,2.4923,351.6
6,75.10,2.4961,352.2
6,75.20,2.5005,352.9
6,75.30,2.5039,353.3
6,75.40,2.5065,353.6
6,75.50,2.5092,354.0
6,75.60,2.5122,354.4
6,75.70,2.5159,355.0
6,75.80,2.5195,355.5
6,75.90,2.5226,356.0
6,76.00,2.5259,356.5
6,76.10,2.5295,357.0
6,76.20,2.5330,357.5
6,76.30,2.5365,358.0
6,76.40,2.5397,358.5
6,76.50,2.5428,358.9
6,76.60,2.5461,359.4
6,76.70,2.5500,360.0
6,76.80,2.5539,360.5
6,76.90,2.5568,360.9
6,77.00,2.5593,361.3
6,77.10,2.5619,361.6
6,77.20,2.5653,362.1
6,77.30,2.5691,362.7
6,77.40,2.5726,363.2
6,77.50,2.5758,363.6
6,77.60,2.5795,364.2
6,77.70,2.5833,364.7
6,77.80,2.5867,365.2
6,77.90,2.5900,365.7
6,78.00,2.5929,366.1
6,78.10,2.5959,366.5
6,78.20,2.5994,367.0
6,78.30,2.6034,367.6
6,78.40,2.6069,368.1
6,78.50,2.6096,368.4
6,78.60,2.6122,368.7
6,78.70,2.6151,369.2
6,78.80,2.6187,369.7
6,78.90,2.6228,370.3
6,79.00,2.6262,370.8
6,79.10,2.6296,371.3
6,79.20,2.6331,371.7
6,79.30,2.6366,372.2
6,79.40,2.6399,372.7
6,79.50,2.6428,373.1
6,79.60,2.6457,373.5
6,79.70,2.6489,373.9
6,79.80,2.6527,374.5
6,79.90,2.6571,375.2
6,80.00,2.6604,375.6
6,80.10,2.6629,375.9
6,80.20,2.6656,376.2
6,80.30,2.6689,376.7
6,80.40,2.6727,377.3
6,80.50,2.6762,377.8
6,80.60,2.6794,378.2
6,80.70,2.6827,378.7
6,80.80,2.6861,379.2
6,80.90,2.6895,379.7
6,81.00,2.6929,380.2
6,81.10,2.6961,380.6
6,81.20,2.6992,381.0
6,81.30,2.7028,381.6
6,81.40,2.7070,382.2
6,81.50,2.7108,382.8
6,81.60,2.7135,383.1
6,81.70,2.7160,383.4
6,81.80,2.7187,383.8
6,81.90,2.7219,384.3
6,82.00,2.7257,384.9
6,82.10,2.7291,385.4
6,82.20,2.7324,385.9
6,82.30,2.7360,386.4
6,82.40,2.7397,387.0
6,82.50,2.7433,387.5
6,82.60,2.7466,387.9
6,82.70,2.7496,388.4
6,82.80,2.7527,388.8
6,82.90,2.7563,389.4
6,83.00,2.7602,389.9
6,83.10,2.7636,390.4
6,83.20,2.7662,390.7
6,83.30,2.7688,391.1
6,83.40,2.7718,391.5
6,83.50,2.7755,392.1
6,83.60,2.7793,392.6
6,83.70,2.7826,393.1
6,83.80,2.7860,393.6
6,83.90,2.7897,394.1
6,84.00,2.7933,394.6
6,84.10,2.7966,395.1
6,84.20,2.7997,395.5
6,84.30,2.8027,395.8
6,84.40,2.8059,396.3
6,84.50,2.8097,396.9
6,84.60,2.8136,397.4
6,84.70,2.8167,397.8
6,84.80,2.8193,398.1
6,84.90,2.8220,398.5
6,85.00,2.8252,399.0
6,85.10,2.8292,399.6
6,85.20,2.8329,400.1
6,85.30,2.8361,400.5
6,85.40,2.8395,400.9
6,85.50,2.8432,401.4
6,85.60,2.8465,401.9
6,85.70,2.8498,402.3
6,85.80,2.8527,402.7
6,85.90,2.8558,403.1
6,86.00,2.8593,403.6
6,86.10,2.8633,404.2
6,86.20,2.8671,404.7
6,86.30,2.8699,405.0
6,86.40,2.8726,405.3
6,86.50,2.8756,405.7
6,86.60,2.8792,406.2
6,86.70,2.8830,406.7
6,86.80,2.8863,407.2
6,86.90,2.8894,407.6
6,87.00,2.8928,408.1
6,87.10,2.8962,408.6
6,87.20,2.8996,409.1
6,87.30,2.9029,409.6
6,87.40,2.9060,410.0
6,87.50,2.9093,410.5
6,87.60,2.9132,411.1
6,87.70,2.9174,411.7
6,87.80,2.9205,412.1
6,87.90,2.9230,412.4
6,88.00,2.9256,412.7
6,88.10,2.9285,413.1
6,88.20,2.9320,413.6
6,88.30,2.9355,414.2
6,88.40,2.9387,414.6
6,88.50,2.9421,415.1
6,88.60,2.9458,415.7
6,88.70,2.9496,416.2
6,88.80,2.9533,416.7
6,88.90,2.9564,417.1
6,89.00,2.9595,417.6
6,89.10,2.9630,418.0
6,89.20,2.9671,418.7
6,89.30,2.9708,419.2
6,89.40,2.9735,419.5
6,89.50,2.9759,419.8
6,89.60,2.9786,420.2
6,89.70,2.9819,420.6
6,89.80,2.9857,421.2
6,89.90,2.9892,421.7
6,90.00,2.9926,422.1
6,90.10,2.9963,422.6
6,90.20,2.9999,423.1
6,90.30,3.0032,423.5
6,90.40,3.0065,424.0
6,90.50,3.0095,424.3
6,90.60,3.0126,424.7
6,90.70,3.0161,425.2
6,90.80,3.0201,425.8
6,90.90,3.0237,426.3
6,91.00,3.0264,426.6
6,91.10,3.0289,426.9
6,91.20,3.0318,427.2
6,91.30,3.0354,427.8
6,91.40,3.0393,428.3
6,91.50,3.0427,428.7
6,91.60,3.0460,429.2
6,91.70,3.0497,429.7
6,91.80,3.0532,430.1
6,91.90,3.0564,430.6
6,92.00,3.0595,431.0
6,92.10,3.0626,431.4
6,92.20,3.0659,431.9
6,92.30,3.0697,432.5
6,92.40,3.0738,433.0
6,92.50,3.0770,433.5
